id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
207,Wingate by Wyndham Manhattan Midtown,235 W 35th St,New York,US,10001,,,,,,,,244448,expedia
208,Hotel 373 Fifth Avenue,373 5th Ave,New York,US,10016,,,,,,Hersha Hospitality (HT),,246640,expedia
209,Hilton Garden Inn Tribeca,39 Avenue of the Americas,New York,US,10013,,,,,,Hersha Hospitality (HT),,249659,expedia
210,Hotel Mela,120 W 44th St,New York,US,10036,,,,,,,,244926,expedia
211,Hilton Garden Inn New York/Chelsea,121 W 28th St,New York,US,10001,,,,,,DiamondRock Hospitality (DRH),,253420,expedia
212,"The GEM Hotel - Midtown West, an Ascend Collection hotel",449 W 36th St,New York,US,10018,,,,,,,,251284,expedia
213,CHURCHILL AT 360 EAST 65,The Easton 360 East 65th St,New York,US,10017,,,,,,,,253761,expedia
214,The Desmond Tutu Center,180 Tenth Ave,New York,US,10011,,,,,,,,259083,expedia
215,Hotel Azure,120 Lafayette St,New York,US,10013,,,,,,,,259235,expedia
216,Duane Street Hotel Tribeca,130 Duane St,New York,US,10013,,,,,,Hersha Hospitality (HT),,260426,expedia
217,Hilton Club New York,1335 Avenue of the Americas,New York,US,10019,,,,,,,,257190,expedia
218,Hotel 309,309 W 14th St,New York,US,10014,,,,,,,,256774,expedia
219,Comfort Inn Times Square South Area,305 West 39th Street,New York,US,10018,,,,,,,,258349,expedia
220,New World Hotel,101 Bowery,New York,US,10002,,,,,,,,265087,expedia
221,Hotel East Houston,151 E Houston St,New York,US,10002,,,,,,,,260469,expedia
222,Wyndham Garden - Manhattan Chelsea West,37 W 24th Street,New York,US,10010,,,,,,,,266936,expedia
223,Holiday Inn Express - Madison Square Garden,232 W 29th St,New York,US,10001,,,,,,Hersha Hospitality (HT),,263234,expedia
224,Hampton Inn Manhattan Soho,54 Watts St,New York,US,10013,,,,,,,,262491,expedia
225,Holiday Inn Express New York City Fifth Avenue,15 West 45th Street,New York,US,10036,,,,,,,,263989,expedia
226,Holiday Inn Express New York City Times Square,343 W 39th Street,New York,US,10018,,,,,,Hersha Hospitality (HT),,270602,expedia
227,Holiday Inn Manhattan 6th Avenue,125 W 26th St,New York,US,10001,,,,,,,,266211,expedia
228,Hampton Inn New York - 35th Street - Empire State Building,59 W 35th St,New York,US,10001,,,,,,,,272526,expedia
229,Windsor Hotel,108 Forsyth St,New York,US,10002,,,,,,,,266457,expedia
230,Best Western Bowery Hanbee Hotel,231 Grand St,New York,US,10013,,,,,,,,267335,expedia
231,Hampton Inn Manhattan/Times Square South,337 West 39th Street,New York,US,10018,,,,,,,,273466,expedia
232,The Hotel 91,91 E Broadway,New York,US,10002,,,,,,,,269032,expedia
233,DoubleTree by Hilton Hotel New York - Times Square South,341 West 36th Street,New York,US,10018,,,,,,,,273736,expedia
234,"ink48 hotel, a Kimpton Hotel",653 11th Avenue,New York,US,10036,,,,,,,,274141,expedia
235,"The Standard, East Village",25 Cooper Square,New York,US,10003,,,,,,,,271760,expedia
236,Hilton Garden Inn New York/West 35th Street,63 West 35th Street,New York,US,10001,,,,,,RLJ Lodging Trust (RLJ),,278721,expedia
237,Holiday Inn New York City - Wall Street,51 Nassau St.,New York,US,10038,,,,,,Hersha Hospitality (HT),,272124,expedia
238,DoubleTree by Hilton New York City - Chelsea,128 West 29th Street,New York,US,10001,,,,,,,,279075,expedia
239,The Jane Hotel,113 Jane St,New York,US,10014,,,,,,,,308872,expedia
240,Four Points by Sheraton Manhattan SoHo Village,66 Charlton St,New York,US,10013,,,,,,,,275398,expedia
241,"GEM Hotel - Chelsea, an Ascend Hotel Collection Member",300 W 22nd Street,New York,US,10011,,,,,,,,276597,expedia
242,Hotel Indigo NYC Chelsea,127 West 28th Street,New York,US,10001,,,,,,,,307954,expedia
243,The Strand Hotel,33 West 37 Street,New York,US,10018,,,,,,,,312110,expedia
244,Fairfield Inn by Marriott New York Manhattan/Times Square,330 West 40th Street,New York,US,10018,,,,,,,,309093,expedia
245,Carvi Hotel New York,152 E 55th St,New York,US,10022,,,,,,,,310147,expedia
